user_id,avg_rating,rating_count
1,3.61,272
2,3.71,62
3,2.796,54
4,4.333,24
5,2.874,175
6,3.635,211
7,3.965,403
8,3.797,59
9,4.273,22
10,4.207,184
11,3.464,181
12,4.392,51
13,3.097,636
14,4.092,98
15,2.875,104
16,4.329,140
17,3.036,28
18,3.881,277
19,3.55,20
20,3.104,48
21,2.67,179
22,3.352,128
23,3.636,151
24,4.324,68
25,4.051,78
26,2.944,107
27,3.24,25
28,3.722,79
29,3.647,34
30,3.767,43
31,3.917,36
32,3.317,41
33,3.708,24
34,4.05,20
35,3.0,25
36,3.8,20
37,3.649,57
38,3.719,121
39,3.773,22
40,2.886,35
41,3.769,52
42,3.727,183
43,3.71,221
44,3.649,151
45,3.604,48
46,4.111,27
47,3.64,25
48,3.788,66
49,2.684,215
50,3.542,24
